rating,"Total Population, All Races",American Indian & Alaska Native,Asian,Black or African American,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),Some Other Race,Two or More Races,Hispanic or Latino,Estimated Median Income,Num of Mex Restaurants
4,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
3.5,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
4,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
4,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
4,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
2.5,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
2.5,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
4,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
3.5,"21,489",0.42%,7.97%,3.57%,0.06%,74.41%,2.83%,5.92%,8.68%,"$100,586 ",13
2.5,"50,152",1.44%,18.12%,4.31%,0.24%,6.96%,39.50%,1.87%,69.52%,"$37,700 ",21
3,"35,916",0.68%,2.13%,32.26%,0.00%,2.16%,36.65%,1.91%,63.01%,"$49,443 ",9
1.5,"46,461",1.72%,16.12%,2.33%,0.01%,21.87%,26.34%,5.06%,58.15%,"$67,479 ",12
3.5,"2,428",0.00%,18.12%,1.44%,0.00%,74.38%,3.58%,2.02%,3.13%,"$118,393 ",5
3.5,"2,428",0.00%,18.12%,1.44%,0.00%,74.38%,3.58%,2.02%,3.13%,"$118,393 ",5
4.5,"21,092",0.07%,6.56%,3.74%,0.05%,74.90%,4.11%,5.14%,10.53%,"$88,535 ",4
3.5,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
3.5,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
4.5,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
3,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
3.5,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
3,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
4,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
4.5,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
4,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
4,"20,230",0.26%,7.28%,3.24%,0.24%,75.53%,2.26%,5.99%,8.81%,"$93,380 ",14
4,126,0.00%,31.75%,25.40%,0.00%,31.75%,0.00%,0.00%,11.11%,"$61,875 ",9
3.5,"19,314",0.13%,7.16%,1.19%,0.00%,83.45%,1.66%,3.54%,4.14%,"$147,270 ",3
4,"19,314",0.13%,7.16%,1.19%,0.00%,83.45%,1.66%,3.54%,4.14%,"$147,270 ",3
2.5,"19,314",0.13%,7.16%,1.19%,0.00%,83.45%,1.66%,3.54%,4.14%,"$147,270 ",3
3.5,"32,910",0.30%,8.35%,4.71%,0.22%,73.18%,1.84%,4.75%,9.57%,"$111,341 ",1
